Date,Company,Studio,Project,Category,Country,Country_code,OS,Counterparty,Amount_USD
2021-02-28,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,19676.25
2021-02-28,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,13117.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,13117.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,32793.75
2021-02-28,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,6558.75
2021-02-28,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,367290.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,15741.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,36729.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,20988.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,5247.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,10494.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,15741.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,10494.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,10494.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,26235.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,5247.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,91822.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,3935.25
2021-02-28,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,9182.25
2021-02-28,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,5247.0
2021-02-28,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,1311.75
2021-02-28,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,2623.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,3935.25
2021-02-28,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,2623.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,2623.5
2021-02-28,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,6558.75
2021-02-28,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,1311.75
2021-03-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,393375.14999999997
2021-03-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,16858.934999999998
2021-03-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,39337.515
2021-03-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,22478.579999999998
2021-03-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,5619.6449999999995
2021-03-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,11239.289999999999
2021-03-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,16858.934999999998
2021-03-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,11239.289999999999
2021-03-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,11239.289999999999
2021-03-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,28098.225000000002
2021-03-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,5619.6449999999995
2021-03-31,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,314700.12
2021-03-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,13487.147999999997
2021-03-31,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,31470.012000000002
2021-03-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,17982.864
2021-03-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,4495.716
2021-03-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,8991.432
2021-03-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,13487.147999999997
2021-03-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,8991.432
2021-03-31,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,8991.432
2021-03-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,22478.579999999998
2021-03-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,4495.716
2021-03-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,78675.03
2021-03-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,3371.7869999999994
2021-03-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,7867.503000000001
2021-03-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,4495.716
2021-03-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,1123.929
2021-03-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,2247.858
2021-03-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,3371.7869999999994
2021-03-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,2247.858
2021-03-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,2247.858
2021-03-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,5619.6449999999995
2021-03-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,1123.929
2021-04-30,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,256484.8125
2021-04-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,10992.206250000001
2021-04-30,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,25648.481250000004
2021-04-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,14656.274999999998
2021-04-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,3664.0687499999995
2021-04-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,7328.137499999999
2021-04-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,10992.206250000001
2021-04-30,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,7328.137499999999
2021-04-30,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,7328.137499999999
2021-04-30,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,18320.34375
2021-04-30,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,3664.0687499999995
2021-04-30,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,205187.85000000003
2021-04-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,8793.765
2021-04-30,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,20518.784999999996
2021-04-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,11725.02
2021-04-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,2931.255
2021-04-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,5862.51
2021-04-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,8793.765
2021-04-30,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,5862.51
2021-04-30,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,5862.51
2021-04-30,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,14656.274999999998
2021-04-30,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,2931.255
2021-04-30,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,51296.96250000001
2021-04-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,2198.44125
2021-04-30,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,5129.696249999999
2021-04-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,2931.255
2021-04-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,732.81375
2021-04-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,1465.6275
2021-04-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,2198.44125
2021-04-30,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,1465.6275
2021-04-30,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,1465.6275
2021-04-30,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,3664.0687499999995
2021-04-30,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,732.81375
2021-05-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,337053.9375
2021-05-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,14445.168749999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,33705.393749999996
2021-05-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,19260.225000000002
2021-05-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,4815.056250000001
2021-05-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,9630.112500000001
2021-05-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,14445.168749999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,9630.112500000001
2021-05-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,9630.112500000001
2021-05-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,24075.28125
2021-05-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,4815.056250000001
2021-05-31,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,269643.14999999997
2021-05-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,11556.135
2021-05-31,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,26964.315
2021-05-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,15408.179999999998
2021-05-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,3852.0449999999996
2021-05-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,7704.089999999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,11556.135
2021-05-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,7704.089999999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,7704.089999999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,19260.225000000002
2021-05-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,3852.0449999999996
2021-05-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,67410.78749999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,2889.03375
2021-05-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,6741.07875
2021-05-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,3852.0449999999996
2021-05-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,963.0112499999999
2021-05-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,1926.0224999999998
2021-05-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,2889.03375
2021-05-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,1926.0224999999998
2021-05-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,1926.0224999999998
2021-05-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,4815.056250000001
2021-05-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,963.0112499999999
2021-06-30,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,448028.4375
2021-06-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,19201.21875
2021-06-30,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,44802.84375
2021-06-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,25601.625
2021-06-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,6400.40625
2021-06-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,12800.8125
2021-06-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,19201.21875
2021-06-30,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,12800.8125
2021-06-30,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,12800.8125
2021-06-30,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,32002.03125
2021-06-30,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,6400.40625
2021-06-30,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,358422.75
2021-06-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,15360.975000000002
2021-06-30,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,35842.274999999994
2021-06-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,20481.3
2021-06-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,5120.325
2021-06-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,10240.65
2021-06-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,15360.975000000002
2021-06-30,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,10240.65
2021-06-30,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,10240.65
2021-06-30,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,25601.625
2021-06-30,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,5120.325
2021-06-30,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,89605.6875
2021-06-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,3840.2437500000005
2021-06-30,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,8960.568749999999
2021-06-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,5120.325
2021-06-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,1280.08125
2021-06-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,2560.1625
2021-06-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,3840.2437500000005
2021-06-30,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,2560.1625
2021-06-30,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,2560.1625
2021-06-30,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,6400.40625
2021-06-30,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,1280.08125
2021-07-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,382119.41250000003
2021-07-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,16376.54625
2021-07-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,38211.941249999996
2021-07-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,21835.395
2021-07-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,5458.84875
2021-07-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,10917.6975
2021-07-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,16376.54625
2021-07-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,10917.6975
2021-07-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,10917.6975
2021-07-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,27294.243749999998
2021-07-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,5458.84875
2021-07-31,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,305695.52999999997
2021-07-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,13101.237
2021-07-31,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,30569.553
2021-07-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,17468.316
2021-07-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,4367.079
2021-07-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,8734.158
2021-07-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,13101.237
2021-07-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,8734.158
2021-07-31,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,8734.158
2021-07-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,21835.395
2021-07-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,4367.079
2021-07-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,76423.88249999999
2021-07-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,3275.30925
2021-07-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,7642.38825
2021-07-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,4367.079
2021-07-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,1091.76975
2021-07-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,2183.5395
2021-07-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,3275.30925
2021-07-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,2183.5395
2021-07-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,2183.5395
2021-07-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,5458.84875
2021-07-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,1091.76975
2021-08-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,211479.1875
2021-08-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,9063.393750000001
2021-08-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,21147.91875
2021-08-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,12084.525
2021-08-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,3021.13125
2021-08-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,6042.2625
2021-08-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,9063.393750000001
2021-08-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Andriod,Moogle,6042.2625
2021-08-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Andriod,Moogle,6042.2625
2021-08-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Andriod,Moogle,15105.65625
2021-08-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Andriod,Moogle,3021.13125
2021-08-31,White,White1,Whiteberry,Mobile IAP,USA,USA,iOS,Banana Store,169183.35
2021-08-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,iOS,Banana Store,7250.714999999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,China,CHN,iOS,Banana Store,16918.335
2021-08-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,iOS,Banana Store,9667.619999999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,iOS,Banana Store,2416.9049999999997
2021-08-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,iOS,Banana Store,4833.8099999999995
2021-08-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,iOS,Banana Store,7250.714999999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,iOS,Banana Store,4833.8099999999995
2021-08-31,White,White1,Whiteberry,Mobile IAP,France,FRA,iOS,Banana Store,4833.8099999999995
2021-08-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,iOS,Banana Store,12084.525
2021-08-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,iOS,Banana Store,2416.9049999999997
2021-08-31,White,White1,Whiteberry,Mobile IAP,USA,USA,Amazon,Mamazon,42295.8375
2021-08-31,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Amazon,Mamazon,1812.6787499999998
2021-08-31,White,White1,Whiteberry,Mobile IAP,China,CHN,Amazon,Mamazon,4229.58375
2021-08-31,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Amazon,Mamazon,2416.9049999999997
2021-08-31,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Amazon,Mamazon,604.2262499999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Amazon,Mamazon,1208.4524999999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Amazon,Mamazon,1812.6787499999998
2021-08-31,White,White1,Whiteberry,Mobile IAP,Austria,AUT,Amazon,Mamazon,1208.4524999999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,France,FRA,Amazon,Mamazon,1208.4524999999999
2021-08-31,White,White1,Whiteberry,Mobile IAP,Russia,RUS,Amazon,Mamazon,3021.13125
2021-08-31,White,White1,Whiteberry,Mobile IAP,Israel,ISR,Amazon,Mamazon,604.2262499999999
2021-09-30,White,White1,Whiteberry,Mobile IAP,USA,USA,Andriod,Moogle,291104.10000000003
2021-09-30,White,White1,Whiteberry,Mobile IAP,Japan,JPN,Andriod,Moogle,12475.89
2021-09-30,White,White1,Whiteberry,Mobile IAP,China,CHN,Andriod,Moogle,29110.409999999996
2021-09-30,White,White1,Whiteberry,Mobile IAP,Germany,DEU,Andriod,Moogle,16634.52
2021-09-30,White,White1,Whiteberry,Mobile IAP,Brazil,BRA,Andriod,Moogle,4158.63
2021-09-30,White,White1,Whiteberry,Mobile IAP,Argentina,ARG,Andriod,Moogle,8317.26
2021-09-30,White,White1,Whiteberry,Mobile IAP,Mexico,MEX,Andriod,Moogle,12475.89
